COD_PROV,DES_PROV,COD_MUNI,DES_MUNI,COD_DM,DES_DM,COD_SECC,DES_SECC,COD_BP,DES_BP,ICV_1,ICV_2,ICV_3,ICV_4,NO_CAT,P_ICV1Y2
13,LA VEGA,04,JIMA ABAJO,01,JIMA ABAJO,03,JIMA ARRIBA,009,LOS PATOS,9,22,17,7,17,43.06
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,001,MAGUEY,29,100,99,18,40,45.1
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,006,LA PRIVADA,8,17,3,1,67,26.04
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,001,LOS RIELES,34,105,53,22,50,52.65
13,LA VEGA,01,LA VEGA,01,LA VEGA,14,LICEY,005,RANCHO ABAJO,14,83,35,7,19,61.39
13,LA VEGA,01,LA VEGA,01,LA VEGA,14,LICEY,007,MONTE ADENTRO,2,20,14,2,23,36.07
13,LA VEGA,01,LA VEGA,01,LA VEGA,14,LICEY,001,HOYA GRANDE O LAS TABLITAS,70,257,225,33,104,47.46
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,008,SABANA DE LOS JIMÉNEZ,8,58,30,5,20,54.55
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,002,BACUÍ AL MEDIO,75,192,99,15,40,63.42
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,011,BACUÍ ADENTRO,6,21,11,1,16,49.09
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,004,LAS CINCO ESQUINAS,27,84,22,3,23,69.81
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,003,LAS UVAS,23,122,116,25,58,42.15
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,009,EL CAPACITO,6,32,7,1,16,61.29
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,007,EL MAMONCITO,16,48,11,0,16,70.33
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,005,EL RODEO,19,37,31,4,3,59.57
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,003,MONTE PLATA,2,9,11,5,17,25
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,008,TORO CENIZO,29,69,50,5,52,47.8
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,005,VERRUGUETE,70,79,36,6,14,72.68
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,006,LOS HOYOS,18,59,41,5,21,53.47
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,004,LAS YERBAS,6,51,61,13,30,35.4
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,002,BARRANCA,149,698,607,113,122,50.15
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,004,JAMO LA BARRANQUITA,4,35,69,5,19,29.55
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,005,JAMO JARDETA,60,258,261,58,30,47.68
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,002,LAS YAYAS ADENTRO,46,158,123,29,62,48.8
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,001,LA CIDRA,41,205,229,37,54,43.46
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,007,LOS ORNES O REFORMA,1,1,0,1,0,66.67
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,002,LAS CABUYAS,214,310,206,47,157,56.1
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,003,LOS GUAYOS,58,146,82,19,62,55.59
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,004,LA CATALINA,43,173,140,19,17,55.1
13,LA VEGA,01,LA VEGA,01,LA VEGA,02,BACUÍ ARRIBA,010,BACUÍ ARRIBA,4,20,5,5,2,66.67
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,005,LA CUARENTA,10,68,53,15,14,48.75
13,LA VEGA,01,LA VEGA,01,LA VEGA,12,LAS CABUYAS,008,SABANA REY ABAJO LAS CABUYAS,59,160,70,15,11,69.52
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,003,JAMO ARRIBA O JAMO AFUERA,4,13,13,3,40,23.29
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,008,LA CARMONA,11,70,69,12,72,34.62
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,001,BACUÍ ABAJO,59,165,183,28,87,42.91
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,007,LAS HOYITAS,27,90,91,11,112,35.35
13,LA VEGA,01,LA VEGA,01,LA VEGA,10,JAMO,006,LAS YAYAS AFUERA,32,127,118,20,10,51.79
13,LA VEGA,01,LA VEGA,01,LA VEGA,14,LICEY,004,LAS TOTUMAS O LOS TOCONES,35,69,62,15,9,54.74
13,LA VEGA,01,LA VEGA,01,LA VEGA,03,BARRANCA,007,JAGUA DULCE,3,15,35,11,21,21.18
13,LA VEGA,01,LA VEGA,01,LA VEGA,14,LICEY,002,LA RAFAELA,5,25,14,11,10,46.15
